Accession,Description,Peptides,39383 WASH 1,39384 WASH 2,39385 WASH 3,39386 Control 1,39387 Control 2,39388 Control 3,39389 QC Pool 1,39389 QC Pool 2,39389 QC Pool 3
E9Q6P5,Tetratricopeptide repeat protein 7B OS=Mus musculus OX=10090 GN=Ttc7b PE=1 SV=1,4,21771069.75,12403185.38,12832519.75,20864986.75,4913128.5,14620910.5,19577550.75,12876150.75,15372896.5
E9Q7G0,Nuclear mitotic apparatus protein 1 OS=Mus musculus OX=10090 GN=Numa1 PE=1 SV=1,1,15855299,13107943,8072132,0,0,0,12078868,13103662,6962766
E9Q8I9,Protein furry homolog OS=Mus musculus OX=10090 GN=Fry PE=1 SV=1,2,9747298,4315705.5,8142061.5,3130988.5,7541915.75,6868547,5638679.625,5038763.125,5216915.5
F6SEU4,Ras/Rap GTPase-activating protein SynGAP OS=Mus musculus OX=10090 GN=Syngap1 PE=1 SV=2,40,1394118751,844657806.8,691289391.8,236192841.3,397776561.9,191933018,511318577.9,539368518.5,545185956.6
F8VPU2,"FERM, ARHGEF and pleckstrin domain-containing protein 1 OS=Mus musculus OX=10090 GN=Farp1 PE=1 SV=1",14,229711925,218012647,233789282.3,179274796.4,183291263,165191724,182698060,195994941.5,243384084.5
G3X9C2,F-box only protein 50 OS=Mus musculus OX=10090 GN=Nccrp1 PE=1 SV=2,1,7595636,4979901,29783634,11999195,7847189,11671733,0,7030435.5,0
G3X9K3,Brefeldin A-inhibited guanine nucleotide-exchange protein 1 OS=Mus musculus OX=10090 GN=Arfgef1 PE=1 SV=1,2,9277634.25,6173475,9941599,13377802,7635181,0,6112259.5,5561203.5,6683210
G3XA57,Rab11 family-interacting protein 2 OS=Mus musculus OX=10090 GN=Rab11fip2 PE=1 SV=1,3,22384725.5,5468348,13117751,0,0,0,5737016.75,4081164,0
G5E829,Plasma membrane calcium-transporting ATPase 1 OS=Mus musculus OX=10090 GN=Atp2b1 PE=1 SV=1,31,2664368399,2167338190,1767523336,2241896831,2306593238,1996152878,2139002810,2166429978,2157660578
G5E8K5,Ankyrin-3 OS=Mus musculus OX=10090 GN=Ank3 PE=1 SV=1,24,341554705.3,268648453,185838001,224007205.8,227372364.3,203794596.5,201317026.9,213747832.4,213351310.1
O08529,Calpain-2 catalytic subunit OS=Mus musculus OX=10090 GN=Capn2 PE=1 SV=4,4,102818091,81440782.75,60022001.5,80504632.75,73939030,70514042.5,73532467.75,83669678.5,77598829.75
O08530,Sphingosine 1-phosphate receptor 1 OS=Mus musculus OX=10090 GN=S1pr1 PE=1 SV=3,2,21773511,30452807.5,20505006,26307674,23531290,28508732,28710799,19311841,19952990.5
O08532,Voltage-dependent calcium channel subunit alpha-2/delta-1 OS=Mus musculus OX=10090 GN=Cacna2d1 PE=1 SV=1,2,20277259,16088976.5,12994704,7225388,13947273.5,4056145,6849630,3970809.25,10766139
O08539,Myc box-dependent-interacting protein 1 OS=Mus musculus OX=10090 GN=Bin1 PE=1 SV=1,21,1475294048,951301184.5,590844162.5,299504714.5,288396587,197163127.6,561668079.3,584693714.3,578683889.5
O08547,Vesicle-trafficking protein SEC22b OS=Mus musculus OX=10090 GN=Sec22b PE=1 SV=3,10,105461628,93012302.5,97870098.13,102190219.8,111586325,74713914.13,89493183.5,100623962.5,110727313
O08553,Dihydropyrimidinase-related protein 2 OS=Mus musculus OX=10090 GN=Dpysl2 PE=1 SV=2,53,19091897757,15743531224,13852602554,14778858674,15467938151,12592146016,15079165352,14664228033,14767725573
O08579,Emerin OS=Mus musculus OX=10090 GN=Emd PE=1 SV=1,2,28940360,18186256.5,12419170.5,0,0,0,11481974,14524684,12570820.75
O08582,GTP-binding protein 1 OS=Mus musculus OX=10090 GN=Gtpbp1 PE=1 SV=2,3,6875818,4595813,3988334,4226188,5052769.5,2936507,16311841,12455465,16693506.5
O08585,Clathrin light chain A OS=Mus musculus OX=10090 GN=Clta PE=1 SV=2,3,41044640,49737092,27627522,36020474.5,45342298,27699613,32920788,37647472,32256708.5
O08586,"Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN OS=Mus musculus OX=10090 GN=Pten PE=1 SV=1",2,57528552,48879842,48582697,44816930,50484076,44362852.38,46510406,48456946,50488418
O08599,Syntaxin-binding protein 1 OS=Mus musculus OX=10090 GN=Stxbp1 PE=1 SV=2,53,9026884759,7221380001,6180737477,7041194322,7360340667,6621627834,6915223597,6934766433,6824098044
O08600,"Endonuclease G, mitochondrial OS=Mus musculus OX=10090 GN=Endog PE=1 SV=1",2,11044342,6168556.5,11092104,8935588,10334487,10633778,11647485.5,11191926.5,9933500.5
O08688,Calpain-5 OS=Mus musculus OX=10090 GN=Capn5 PE=1 SV=1,5,813018502,559763039.5,1024618509,1410319441,1746163596,1600143682,1076714503,1157904898,1154452384
O08709,Peroxiredoxin-6 OS=Mus musculus OX=10090 GN=Prdx6 PE=1 SV=3,17,1624748682,1311760981,837176043.8,1316043552,1331000847,1106484264,1157321465,1181258723,1179124228
O08739,AMP deaminase 3 OS=Mus musculus OX=10090 GN=Ampd3 PE=1 SV=2,1,10061534,8546730,8507370,8224943.5,7510049,7771553.5,8544961,9085281,8217667.5
O08749,"Dihydrolipoyl dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Dld PE=1 SV=2",17,822279178.3,750038110,687897166,644239087,764591490,520932348.8,680990495.5,705701655.5,694834894
O08756,3-hydroxyacyl-CoA dehydrogenase type-2 OS=Mus musculus OX=10090 GN=Hsd17b10 PE=1 SV=4,4,119277265,89055769,89440105,77658564,99215344,64964210,85535671.5,91542132,94207195
O08759,Ubiquitin-protein ligase E3A OS=Mus musculus OX=10090 GN=Ube3a PE=1 SV=2,11,177465734.5,152066153.5,127568969,167419301.5,125733905,184267544,152829863.5,171859965.8,133923498.5
O08788,Dynactin subunit 1 OS=Mus musculus OX=10090 GN=Dctn1 PE=1 SV=3,28,550940376,475976666.8,271646306.3,538329983.3,561569718.5,533488758.8,496780430.5,546699916,527460233.1
O08795,Glucosidase 2 subunit beta OS=Mus musculus OX=10090 GN=Prkcsh PE=1 SV=1,3,37660063.5,24143074.63,34905259.5,29765227.5,48442117.5,13479642.25,31778853.5,36066453.5,30133598.5
O08807,Peroxiredoxin-4 OS=Mus musculus OX=10090 GN=Prdx4 PE=1 SV=1,2,21771798,18573837.5,13154957.5,4410545,11071100,18548473.5,0,14818456.5,6547473
O08810,116 kDa U5 small nuclear ribonucleoprotein component OS=Mus musculus OX=10090 GN=Eftud2 PE=1 SV=1,9,128016722.5,73950886.5,45298817.5,74209503.5,95059471.75,72976547.75,91978641,70249018.25,84217119.25
O08848,60 kDa SS-A/Ro ribonucleoprotein OS=Mus musculus OX=10090 GN=Trove2 PE=1 SV=1,6,764488760,566751155,215778255.5,590593120.5,619478159,546684632,537124862,564776410.5,540287439
O08911,Mitogen-activated protein kinase 12 OS=Mus musculus OX=10090 GN=Mapk12 PE=1 SV=1,1,45371628,144295840,17309166,0,8838081,40676568,38011536,74596016,81822840
O08914,Fatty-acid amide hydrolase 1 OS=Mus musculus OX=10090 GN=Faah PE=1 SV=1,7,94216295,80371501,60055188,30923462.5,90416849.5,20198964.38,68981869,72355582,64401867
O08917,Flotillin-1 OS=Mus musculus OX=10090 GN=Flot1 PE=1 SV=1,1,4927170,0,0,6743176.5,0,0,0,0,0
O08919,Numb-like protein OS=Mus musculus OX=10090 GN=Numbl PE=1 SV=3,7,162461070,116454831,87617025.75,41898599.5,48867974.5,22753765.5,75475525,76225649.5,68942735
O09012,Peroxisomal targeting signal 1 receptor OS=Mus musculus OX=10090 GN=Pex5 PE=1 SV=2,2,23596102.5,12062269,10651795,0,0,0,9794884,11287312.75,7008522
O09061,Proteasome subunit beta type-1 OS=Mus musculus OX=10090 GN=Psmb1 PE=1 SV=1,7,165275118,120684807.5,117533947.3,97670938.25,99189547.5,89198488.5,118888324.5,96079227,104153284
O09106,Histone deacetylase 1 OS=Mus musculus OX=10090 GN=Hdac1 PE=1 SV=1,1,6073477,0,4853065.5,12647096,0,6026521,0,6217236.5,5782357.5
O09114,Prostaglandin-H2 D-isomerase OS=Mus musculus OX=10090 GN=Ptgds PE=1 SV=1,4,80030473,90131422,59164877,96080386,84062478,70498470.25,93943235,95279745,84933806
O09126,Semaphorin-4D OS=Mus musculus OX=10090 GN=Sema4d PE=1 SV=2,2,13310092,4678016,0,2706220,9667183.75,6313381.5,8035984.5,4307838.5,12425613.5
O09131,Glutathione S-transferase omega-1 OS=Mus musculus OX=10090 GN=Gsto1 PE=1 SV=2,2,54559440,55690232,44588742,63790006,73529312,35472410,40768500,44248818,44862804
O09172,Glutamate--cysteine ligase regulatory subunit OS=Mus musculus OX=10090 GN=Gclm PE=1 SV=1,4,25633634.25,44807712.5,34968030.75,32586308.5,32422457,26296074.5,38879891.75,36594440.5,36546506.5
O35066,Kinesin-like protein KIF3C OS=Mus musculus OX=10090 GN=Kif3c PE=1 SV=3,1,9847141,6242103.5,0,5044924.5,4637804,5352853.5,0,6689470.5,4168181.75
O35075,Down syndrome critical region protein 3 homolog OS=Mus musculus OX=10090 GN=Dscr3 PE=1 SV=1,3,18492577,16217014,12362905.5,22410325.25,19786269,13276522,20156577,14756426.5,14028708
O35083,1-acyl-sn-glycerol-3-phosphate acyltransferase alpha OS=Mus musculus OX=10090 GN=Agpat1 PE=1 SV=1,2,40771774,30203683,31327075,36805698,33853221,26386585.5,34891812,36357682,35844366
O35098,Dihydropyrimidinase-related protein 4 OS=Mus musculus OX=10090 GN=Dpysl4 PE=1 SV=1,26,3984576576,3456277475,3231440826,3076693128,3285365447,3412000034,3329019481,3164097040,3294978914
O35136,Neural cell adhesion molecule 2 OS=Mus musculus OX=10090 GN=Ncam2 PE=1 SV=1,24,1142493991,941718747.3,683984634.3,949486628.8,1059918277,879666038.3,935646135.5,897714374.5,948642784.5
O35143,"ATPase inhibitor, mitochondrial OS=Mus musculus OX=10090 GN=Atpif1 PE=1 SV=2",3,135280779.8,220780148,127925650.5,24039069.25,35927945.94,21415006.81,81302409.5,93517916.25,89933825.75
O35215,D-dopachrome decarboxylase OS=Mus musculus OX=10090 GN=Ddt PE=1 SV=3,4,69841357,50848584,55297897,127947984,166395776,53167255.5,112877581,71764410,107875290
O35226,26S proteasome non-ATPase regulatory subunit 4 OS=Mus musculus OX=10090 GN=Psmd4 PE=1 SV=1,5,230326509.3,172529616.3,139989717.5,38293837.38,46746637,21647872.13,85474778.34,88256350.38,97451086.88
O35239,Tyrosine-protein phosphatase non-receptor type 9 OS=Mus musculus OX=10090 GN=Ptpn9 PE=1 SV=2,2,6443060,11932219.5,13214781.5,9033459,6626168.5,9460735.5,9220941,9930210,11989029.5
O35286,Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 OS=Mus musculus OX=10090 GN=Dhx15 PE=1 SV=2,14,308960651,224645767.1,241275589.5,202095344.3,252059595.5,202102260,229095342.5,231641141.3,250944142
O35295,Transcriptional activator protein Pur-beta OS=Mus musculus OX=10090 GN=Purb PE=1 SV=3,18,1030671706,813585279,771123890.1,374370722.5,429436336.5,349084024,595362877.5,589715296.8,606916170.5
O35326,Serine/arginine-rich splicing factor 5 OS=Mus musculus OX=10090 GN=Srsf5 PE=1 SV=2,2,32368910,27810369.5,20777792.25,20990669.5,25196736,18959772,24740746,23716914.5,24244358
O35344,Importin subunit alpha-4 OS=Mus musculus OX=10090 GN=Kpna3 PE=1 SV=1,4,41518490,31094036.5,36338644,33396869.5,28983508,27152598,33063017,27604042.5,34085750
O35381,Acidic leucine-rich nuclear phosphoprotein 32 family member A OS=Mus musculus OX=10090 GN=Anp32a PE=1 SV=1,3,48761988.5,45501898,21155535.5,33532854,32777119.5,26673924,33116666.5,36419090.5,30133132
O35382,Exocyst complex component 4 OS=Mus musculus OX=10090 GN=Exoc4 PE=1 SV=2,8,153573638,249482105.3,63242874.25,255989171.8,302275573,147762022.3,164416291.3,195469042.3,182574655.3
O35393,Ephrin-B3 OS=Mus musculus OX=10090 GN=Efnb3 PE=1 SV=1,2,5075351,14908604.5,14294258,13788151,3003112.5,0,10719477.5,4971601.5,13020296.5
O35405,Phospholipase D3 OS=Mus musculus OX=10090 GN=Pld3 PE=1 SV=1,5,273063632,215459096,171719097.5,206518256,164514941,139916045,155502758,146479398,159812677
O35409,Glutamate carboxypeptidase 2 OS=Mus musculus OX=10090 GN=Folh1 PE=1 SV=2,2,3338828.5,18392245.5,18277822.5,6892405.5,9670724.5,16369902.5,16396568,9613499.25,16016858
O35465,Peptidyl-prolyl cis-trans isomerase FKBP8 OS=Mus musculus OX=10090 GN=Fkbp8 PE=1 SV=2,4,104836584,87748493.5,81165220.5,83520703.5,81963688.5,57271434.25,86124490,73542220.75,88076317.5
O35495,Cyclin-dependent kinase 14 OS=Mus musculus OX=10090 GN=Cdk14 PE=1 SV=2,1,7643367,6034517.5,3575509,2826004.75,4117664.25,1962820.875,2914334.75,4332329.5,0
O35526,Syntaxin-1A OS=Mus musculus OX=10090 GN=Stx1a PE=1 SV=3,7,185069422,166498343.5,100834674,119558070.5,114742718.8,118890903,128414641.5,70255953.75,142259131
O35544,Excitatory amino acid transporter 4 OS=Mus musculus OX=10090 GN=Slc1a6 PE=1 SV=1,4,51469011.5,40294902.5,29263666.25,56751365,41204709.25,29626022,38765729,36946318.5,33689725.25
O35551,Rab GTPase-binding effector protein 1 OS=Mus musculus OX=10090 GN=Rabep1 PE=1 SV=2,1,5015898.5,3249414,4392156.5,0,0,901343.5625,2416664.5,1827859.5,0
O35593,26S proteasome non-ATPase regulatory subunit 14 OS=Mus musculus OX=10090 GN=Psmd14 PE=1 SV=2,6,233332203.5,160692966,183724207.8,99294108.5,142986795,123564396,143609869,139306421,139486241.8
O35609,Secretory carrier-associated membrane protein 3 OS=Mus musculus OX=10090 GN=Scamp3 PE=1 SV=3,4,64243282.5,67648642.5,37881639.5,57084559.5,74423080.5,49099923,59138955.5,58558398,56913997
O35621,Phosphomannomutase 1 OS=Mus musculus OX=10090 GN=Pmm1 PE=1 SV=1,2,18074184,14780770,7131101,13762911.5,18199946.5,9875794.5,15721036.5,19014065,16713493.5
O35633,Vesicular inhibitory amino acid transporter OS=Mus musculus OX=10090 GN=Slc32a1 PE=1 SV=3,7,192040428,144139199.5,104195979,132171581,144337593,147624090,123356671,145806365,152796519
O35643,AP-1 complex subunit beta-1 OS=Mus musculus OX=10090 GN=Ap1b1 PE=1 SV=2,12,450977632,350823387.9,279603326.3,381371673.5,405028782,343945935,352184462,332371509.5,365946459
O35668,Huntingtin-associated protein 1 OS=Mus musculus OX=10090 GN=Hap1 PE=1 SV=1,13,264243170,324364822,328837510,44754729.63,49982806,47947323,152833955,141563651.3,140475301.8
O35678,Monoglyceride lipase OS=Mus musculus OX=10090 GN=Mgll PE=1 SV=1,9,398616357.5,320584131.5,279500941.8,336810901,359066794.5,299716100.9,325438835,333452990,347953247.3
O35685,Nuclear migration protein nudC OS=Mus musculus OX=10090 GN=Nudc PE=1 SV=1,8,245774828.5,211387383.5,130186579.1,147104780.8,155896984.4,120596793.5,178693546.8,177775651.5,167761523.9
O35737,Heterogeneous nuclear ribonucleoprotein H OS=Mus musculus OX=10090 GN=Hnrnph1 PE=1 SV=3,6,264599638,307322882,191672103,162079462,212678360,195776347,228740861,196926350,204116953
O35855,"Branched-chain-amino-acid aminotransferase, mitochondrial OS=Mus musculus OX=10090 GN=Bcat2 PE=1 SV=2",3,28376636.5,11912999.5,22048290.5,13266344.5,19293872.25,10665716,13782278,19769019,16258893.75
O35857,Mitochondrial import inner membrane translocase subunit TIM44 OS=Mus musculus OX=10090 GN=Timm44 PE=1 SV=2,18,352088480.5,361791136.5,235214893,154157118.1,128727570.3,134674452,222521589.3,194781370,214655997.5
